title;description;href;vol_price;volume;price;strike;price_1;discount;discount_1
Муссонный Малабар;Состав: Муссонный Малабар - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-mussonnyy-malabar/#title;200 гр. (400 руб. );200;400;0;2000,0;340,0;1700,0
Муссонный Малабар;Состав: Муссонный Малабар - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-mussonnyy-malabar/#title;500 гр. (700 руб. );500;700;0;1400,0;595,0;1190,0
Муссонный Малабар;Состав: Муссонный Малабар - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-mussonnyy-malabar/#title;1 кг. (1 300 руб. );1000;1300;0;1300,0;1105,0;1105,0
Кордова;Состав: Уганда Бугису - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-kordova/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Кордова;Состав: Уганда Бугису - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-kordova/#title;500 гр. (550 руб. );500;550;0;1100,0;467,5;935,0
Кордова;Состав: Уганда Бугису - 100% арабика;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-kordova/#title;1 кг. (1 000 руб. );1000;1000;0;1000,0;850,0;850,0
Пура Вида;Состав: смесь трех арабик из Бразилии, Гондураса и Эфиопии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/pura-vida/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Пура Вида;Состав: смесь трех арабик из Бразилии, Гондураса и Эфиопии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/pura-vida/#title;500 гр. (750 руб. );500;750;0;1500,0;637,5;1275,0
Пура Вида;Состав: смесь трех арабик из Бразилии, Гондураса и Эфиопии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/pura-vida/#title;1 кг. (1 400 руб. );1000;1400;0;1400,0;1190,0;1190,0
Бразильеро;Состав: смесь арабик из Бразилии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/brazilero/#title;1 кг. (800 руб. );1000;800;0;800,0;0;0
Карузо;Состав: смесь арабик из Центральной Америки и Бразилии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-caruzo/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Карузо;Состав: смесь арабик из Центральной Америки и Бразилии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-caruzo/#title;500 гр. (700 руб. );500;700;0;1400,0;595,0;1190,0
Карузо;Состав: смесь арабик из Центральной Америки и Бразилии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-caruzo/#title;1 кг. (1 300 руб. );1000;1300;0;1300,0;1105,0;1105,0
Толедо;Состав: смесь трех арабик из Перу, Бразилии и Индии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-toledo/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Толедо;Состав: смесь трех арабик из Перу, Бразилии и Индии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-toledo/#title;500 гр. (700 руб. );500;700;0;1400,0;595,0;1190,0
Толедо;Состав: смесь трех арабик из Перу, Бразилии и Индии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-toledo/#title;1 кг. (1 300 руб. );1000;1300;0;1300,0;1105,0;1105,0
Барселона;Состав: смесь трех арабик из Бразилии, Индии и Гондураса;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-barselona/#title;200 гр. (300 руб. );200;300;0;1500,0;255,0;1275,0
Барселона;Состав: смесь трех арабик из Бразилии, Индии и Гондураса;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/tabera-barselona/#title;500 гр. (650 руб. );500;650;0;1300,0;552,5;1105,0
